,feature_names,feature_impt,std
36,amenities_carbonmonoxidealarm,0.00034106312263693317,9.38281533906612e-05
18,review_scores_communication,0.00029312424458662447,0.00019523471065145041
101,amenities_buildingstaff,0.00023516649480464613,9.969557037229357e-05
90,amenities_bbqgrill,0.00023438625475888042,8.181300812776797e-05
26,amenities_smokealarm,0.00023129969282993602,4.877622731795367e-05
73,amenities_roomdarkeningshades,0.00023026356780389223,7.328281475630188e-05
41,amenities_bedlinens,0.00021535286441628942,0.00013306922355504135
48,amenities_fireextinguisher,0.00020848243880623008,9.054857641573661e-05
54,amenities_hostgreetsyou,0.000195520439718726,8.548218893257819e-05
34,amenities_hotwater,0.00018827796744417925,5.421655031841886e-05
28,amenities_kitchen,0.000175234991160782,0.0001122896587384238
30,amenities_longtermstaysallowed,0.0001522186112705426,8.177363706146146e-05
17,review_scores_checkin,0.00014094353556679318,3.813406338272654e-05
75,amenities_breakfast,0.000135182807970855,9.690505267655743e-05
37,amenities_dedicatedworkspace,0.00013380877443261107,0.00012491540850999172
64,amenities_lockonbedroomdoor,0.00012807830649420372,8.634390835421494e-05
27,amenities_heating,0.00012782083306555947,4.606523757138311e-05
55,amenities_lockbox,0.00011805349761989659,0.00011088977512502497
29,amenities_hangers,9.80610201010923e-05,3.7102321956137245e-05
58,amenities_freeparkingonpremises,9.419921267620923e-05,0.00011410369840168436
99,amenities_minifridge,9.315764561377283e-05,0.0001052550752641776
88,amenities_highchair,8.580532438489996e-05,8.346281589110534e-05
38,amenities_dishesandsilverware,8.228378491270227e-05,0.00011294879563906465
31,amenities_iron,8.054444848538012e-05,4.596909439543083e-05
94,amenities_outdoordiningarea,6.348717631600387e-05,3.779529470845838e-05
103,amenities_nespressomachine,6.010152471451313e-05,1.341639410540764e-05
51,amenities_privateentrance,5.9733514435516e-05,4.622456597127625e-05
65,amenities_cabletv,5.682781941043435e-05,2.3093524608136914e-05
68,amenities_tvwithstandardcable,5.594133285569791e-05,4.13613651748724e-05
45,amenities_stove,5.229766592974361e-05,6.594651531496856e-05
83,amenities_outdoorfurniture,4.873615763569372e-05,6.943635317147787e-05
96,amenities_cleaningbeforecheckout,4.5786900329747304e-05,3.010031127386141e-05
46,amenities_dryer,4.4141983795988884e-05,4.0629050785760864e-05
74,amenities_bodysoap,3.1019373996794555e-05,4.5575194907497324e-05
62,amenities_backyard,3.0121510452483235e-05,5.8423472457354665e-05
92,amenities_privatepatioorbalcony,2.9875971611099672e-05,5.116403472692508e-05
60,amenities_paidparkingoffpremises,2.900761615998615e-05,2.9584468824975603e-05
53,amenities_luggagedropoffallowed,2.71977582173788e-05,5.724978923153926e-05
81,amenities_portablefans,2.3516609934195466e-05,1.13638208048912e-05
98,amenities_clothingstoragecloset,1.7730740053336637e-05,1.97671789755916e-05
32,amenities_washer,1.5146780424413198e-05,9.103533480971863e-05
47,amenities_firstaidkit,1.3875515103021208e-05,1.8046687334481607e-05
39,amenities_cookingbasics,1.3199273024036007e-05,4.294165918729267e-05
40,amenities_refrigerator,3.121840501769668e-06,4.721669256106196e-05
89,amenities_bakingsheet,1.5566167514169394e-06,1.1761335539288293e-05
61,amenities_hotwaterkettle,1.546542529804462e-06,2.127612898265427e-05
77,amenities_singlelevelhome,1.3436331495508825e-06,9.284956653401058e-06
100,amenities_privatefencedgardenorbackyard,7.259806035930794e-07,1.4340335772809705e-05
79,amenities_conditioner,1.7204510772250713e-07,1.956048265984743e-05
72,amenities_wineglasses,0.0,0.0
24,amenities_wifi,0.0,0.0
25,amenities_essentials,0.0,0.0
1,neighbourhood_group_cleansed,0.0,0.0
59,amenities_showergel,0.0,0.0
69,amenities_cleaningproducts,0.0,0.0
70,amenities_toaster,0.0,0.0
102,amenities_paidstreetparkingoffpremises,0.0,0.0
84,amenities_laundromatnearby,0.0,0.0
85,amenities_packnplaytravelcrib,0.0,0.0
76,amenities_dryingrackforclothing,0.0,0.0
44,amenities_oven,0.0,0.0
95,amenities_childrensbooksandtoys,0.0,0.0
93,amenities_centralheating,0.0,0.0
97,amenities_clothingstorage,-3.1139084039222275e-06,1.25044140855711e-05
91,amenities_paidparkingonpremises,-5.189702835630694e-06,2.138112912022915e-05
82,amenities_ethernetconnection,-6.835536232128181e-06,1.894203809946402e-05
52,amenities_extrapillowsandblankets,-1.5127989138556951e-05,1.0569628679557398e-05
71,amenities_diningtable,-1.5340076170708984e-05,1.0149916733974663e-05
67,amenities_freezer,-2.3157453465214582e-05,1.4028274598150811e-05
56,amenities_bathtub,-2.3488985259332297e-05,1.73397982022255e-05
78,amenities_securitycamerasonproperty,-4.4578952396394645e-05,9.647699938269105e-05
